company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
Overstory,overstory.com,decision_maker,Indra Den Bakker,Indra,Bakker,CEO & Co-founder,Co-founder at Overstory,"{'city': 'Amsterdam', 'state_code': None, 'country_code': 'NL', 'continent': 'Europe'}",https://www.linkedin.com/in/indradenbakker,https://www.linkedin.com/company/overstoryai
Overstory,overstory.com,decision_maker,Anniek Schouten,Anniek,Schouten,COO & Co-founder,,"{'city': 'Amsterdam', 'state_code': None, 'country_code': 'NL', 'continent': 'Europe'}",https://www.linkedin.com/in/anniekschouten,https://www.linkedin.com/company/overstoryai
Overstory,overstory.com,tech_product,Brian Lafayette,Brian,Lafayette,VP Product and Strategy,VP Product @ Overstory,"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/brian-lafayette,https://www.linkedin.com/company/overstoryai
Netic (Cybernetic Labs Inc.),netic.ai,decision_maker,Melisa Tokmak,Melisa,Tokmak,Founder,founder,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/mtokmak,https://www.linkedin.com/company/netic-ai
Bankjoy,bankjoy.com,decision_maker,Weiwei Duncan,Weiwei,Duncan,Chief Operating Officer,Co-Founder and COO at Bankjoy,"{'city': 'Detroit', 'state_code': 'MI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/weiwei-duncan-20055154,https://www.linkedin.com/company/bankjoy
Bankjoy,bankjoy.com,decision_maker,Michael Duncan,Michael,Duncan,CEO and Co-founder,CEO & Co-founder of Bankjoy | Empowering community FIs to win in digital banking,"{'city': 'Rochester', 'state_code': 'MI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/hellomike,https://www.linkedin.com/company/bankjoy
Bankjoy,bankjoy.com,tech_product,Yanli Zhao,Yanli,Zhao,Director of Engineering,,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/yanli-zhao-a772674,https://www.linkedin.com/company/bankjoy
Bankjoy,bankjoy.com,tech_product,Roman Kotlar,Roman,Kotlar,Senior Product Designer,Senior Product Designer at Bankjoy | Head of Design | ex-Hacken | ex-Cosmolot,"{'city': None, 'state_code': None, 'country_code': None, 'continent': None}",https://www.linkedin.com/in/roman-kotlar,https://www.linkedin.com/company/bankjoy
Gradial,gradial.com,decision_maker,Anup Chamrajnagar,Anup,Chamrajnagar,Co-founder and COO,Co-Founder at Gradial | Agentic Marketing,"{'city': 'Seattle', 'state_code': 'WA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/anup-chamrajnagar-6744baa8,https://www.linkedin.com/company/gradialai
Gradial,gradial.com,decision_maker,Doug Tallmadge,Doug,Tallmadge,Co-founder and CEO,Co-Founder at Gradial | Agentic Marketing,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/doug-tallmadge-14166075,https://www.linkedin.com/company/gradialai
